no,datetime,S,style,K,topic,L,lang,filename,quote,fact,source
11,2026-08-01 05:13,29,北欧极简自然,7,建筑与城市,4,粵語口語,2026-08/NO.0011_2026-08-01_S29-北歐極簡自然_YUE.png,唔使成個世界都屬於你。得一小塊企得穩，就已經夠。,1913年紐約擴闊第七大道拆咗近三百幢樓，漏咗一塊三角形碎地。業主 Hess 家族唔肯捐出，1922年喺呢塊約500平方吋嘅地上鑲咗塊馬賽克，寫住此地屬 Hess 家族產業，從未奉獻作公共用途。今日仲喺 Christopher Street 街口。,
12,2026-08-01 10:16,34,复古解剖医学插图,12,冷门历史事件,2,繁體中文（台灣）,2026-08/NO.0012_2026-08-01_S34-復古解剖插圖_ZH-TW.png,人們願意為一隻耳朵開戰，卻不肯坐下來把一句話聽完。,1731年英國商船船長詹金斯在佛羅里達外海被西班牙巡邏艇割去左耳。七年後他把那隻耳朵帶進英國國會展示；1739年英西正式開戰，打到1748年。「詹金斯的耳朵戰爭」這名字是史學家卡萊爾1858年才取的。,
13,2026-08-01 15:13,25,老报纸头版,17,体育与游戏,7,西班牙文,2026-08/NO.0013_2026-08-01_S25-老报纸头版_ES.png,Hay partidas que no se ganan: se abandonan a tiempo para no perder el barco.,"En marzo de 1939, Inglaterra y Sudáfrica disputaron en Durban un Test sin límite de tiempo: se prolongó doce días y más de 43 horas de juego. Al duodécimo día Inglaterra iba 654 por 5, a sólo 42 carreras de la victoria, y aun así se declaró empate: los visitantes tenían que tomar el tren para alcanzar su barco. Fue el último Test sin límite de tiempo jamás jugado.",
14,2026-08-01 20:13,21,星图天文星座,5,数学与数字,5,英文,2026-08/NO.0014_2026-08-01_S21-星图星座_EN.png,Not everything that circles is lost. Some orbits are simply long.,"Take any four-digit number whose digits are not all identical. Arrange its digits high to low, then low to high, and subtract the smaller from the larger. Repeat. Within seven steps you always arrive at 6174 — Kaprekar's constant, discovered in 1949.",
15,2026-08-02 00:12,11,杂志编辑大标题排版,9,昆虫与植物,2,繁體中文（台灣）,2026-08/NO.0015_2026-08-02_S11-雜誌編輯排版_ZH-TW.png,你以為自己只是在等，其實那段時間，也在替你長出根來。,夏威夷茂宜島與摩洛凱島住著一種體長約八公釐的蛾類幼蟲 Hyposmocoma molluscivora，會吐絲把活蝸牛綁在葉面上再鑽進殼裡吃掉。所有毛蟲都有絲腺，但已知只有牠像蜘蛛那樣用絲捕獵；2005年才被正式記錄。,
16,2026-08-02 05:16,5,中国水墨写意留白,14,科技与发明史,7,法文,2026-08/NO.0016_2026-08-02_S5-水墨写意_FR.png,L'insatisfaction est le premier moteur du monde.,"En avril 1899, à Achères près de Paris, une voiture électrique nommée « La Jamais Contente » devint la première automobile à franchir les 100 km/h : 105,88 km/h, pilotée par le Belge Camille Jenatzy. Il fallut attendre 1902 pour qu'une voiture à essence l'égale.",
17,2026-08-02 10:15,3,孟菲斯几何撞色,2,语言与文字,5,英文,2026-08/NO.0017_2026-08-02_S3-孟菲斯撞色_EN.png,One person's lazy shortcut is another century's monument.,"In 63 BC, Cicero's secretary Tiro invented a Latin shorthand of some 4,000 signs. One of them outlived the empire: the Tironian et, his mark for et. It is still printed on Irish road signs today, standing in for agus — and.",
18,2026-08-03 13:25,6,日式侘寂素雅,12,冷門歷史事件,4,粵語口語,2026-08/NO.0018_2026-08-03_S6-日式侘寂_YUE.png,唔係所有離開，都叫做消失。有啲答案要飛過幾千里，帶住一身傷，先返到嚟。,一八二二年五月德國北部小鎮 Klütz 捉到一隻白鸛，頸上插住一支約八十厘米長嘅非洲長矛，仍飛咗幾千公里返到歐洲；當時歐洲仲流行鸛鳥沉入水底冬眠嘅講法。呢隻「箭鸛」（Pfeilstorch）首次證實候鳥遷徙去非洲，標本現存羅斯托克大學動物學收藏。,https://en.wikipedia.org/wiki/Pfeilstorch
19,2026-08-03 15:09,14,包豪斯几何构成,14,科技与发明史,6,日文,2026-08/NO.0019_2026-08-03_S14-包豪斯几何_JA.png,失ったものの数だけ、まだ発明されていない道がある。（失去过多少东西，就还有多少条尚未被发明的路。）,1815年タンボラ火山噴火→1816年「夏のない年」で燕麦が不作、馬が大量に死んで輸送が停滞。翌1817年6月12日、カール・フォン・ドライスが二輪の走行機械（自転車の祖先）でマンハイムから片道約7kmの駅舎を往復1時間余り（徒歩の半分以下）。技術史家 H.-E. Lessing はこの発明の背景に馬の飼料危機があったとする。,https://smartmobility.london/journeymakers-blog/karl-drais-how-the-year-without-a-summer-inspired-the-bike
20,2026-08-03 20:09,13,蒸汽波 Vaporwave,2,语言与文字,4,粵語口語,2026-08/NO.0020_2026-08-03_S13-蒸汽波_YUE.png,唔夠符號用，唔係你嘅世界太細，係人哋嗰支筆，本來就唔係為你而整。自己補多幾筆，就數得晒。,1994年，阿拉斯加 Kaktovik 一間得九個學生嘅中學，數學堂上講到進制，細路發現自己嘅因紐皮亞語數數係二十進制，用阿拉伯數字根本唔夠符號寫。九個人同老師 William Bartley 一齊，自己砌咗一套二十進制數字：上面橫筆計五，下面直筆計一。到2022年，呢套細路發明嘅數字正式收入 Unicode 15.0。,https://en.wikipedia.org/wiki/Kaktovik_numerals
21,2026-08-04 05:09,8,新拟态柔和浮雕,11,化学与材料,6,日文,2026-08/NO.0021_2026-08-04_S8-新拟态浮雕_JA.png,溶けてはじめて、見えてくるものがある。いま形をたもてないでいる自分を、そんなに責めなくていい。（有些东西，要溶解之后才第一次显现。所以，此刻保不住形状的自己，不必那么苛责。）,2006年、ドレスデン工科大学のパウフラーらは、17世紀のダマスカス刀の鋼片を塩酸で溶かしたところ、多層カーボンナノチューブとセメンタイトのナノワイヤーが現れたと『ネイチャー』誌に報告した。約400年前の刃の中に、人がまだ名前すら持たなかった構造が、すでに眠っていたことになる。（2006年，德国德累斯顿工业大学的帕乌夫勒团队把一片17世纪大马士革刀的钢用盐酸溶解，在《自然》上报告显微镜下浮现出多层碳纳米管与渗碳体纳米线——约四百年前的刀刃里，早已藏着当时还没有名字的结构。）,https://www.nature.com/articles/444286a
22,2026-08-04 10:09,2,瑞士國際主義網格排版,16,氣象與自然現象,4,粵語口語,2026-08/NO.0022_2026-08-04_S2-瑞士國際網格_YUE.png,望得到嗰啲，喺一百公里外。聽得到嗰啲，就喺頭頂七十米。你追緊嘅嘢或者好遠，但真係應你嗰把聲，一直喺埋身。,極光發生喺離地大約一百公里嘅高空，但有人喺極光下聽到嘅噼啪爆裂聲，聲源根本唔喺天上。二〇一二年，芬蘭阿爾托大學嘅 Unto K. Laine 用麥克風陣列定位，發現聲源離地只係大約七十米；二〇一六年佢提出逆溫層假說——地磁暴令積聚喺低空逆溫層嘅電荷放電，先至爆出嗰啲聲。,https://www.aalto.fi/en/news/acoustics-researcher-finds-explanation-for-auroral-sounds
23,2026-08-04 11:28,46,3D堆叠透视卡片,17,体育与游戏,5,英文,2026-08/NO.0023_2026-08-04_S46-堆叠卡片_EN.png,Nobody remembers who won the point — only that two men each refused to be the one who let it end.（没人记得那一分归了谁，只记得那两个人——谁都不肯做先结束的那一个。）,"Prague, March 1936. In the opening team fixture between Poland and Romania at the World Table Tennis Championships, the very first point — Alojzy Ehrlich against Farkas Paneth — lasted 2 hours and 12 minutes. The ball crossed the net more than 12,000 times. After 70 minutes Ehrlich switched to his left hand; at 85 minutes the umpire was replaced because his neck had locked. The score was still 0–0. The expedite rule arrived the following season.（1936年3月，布拉格世界乒乓球锦标赛，波兰对罗马尼亚团体赛的开场第一分——埃利希对帕内特——打了2小时12分钟，球过网一万两千余次。第70分钟，埃利希换成左手继续打；第85分钟，裁判因脖子僵住而被换下。比分仍是0比0。下一个赛季，限时的「轮换发球法」就诞生了。）",https://www.ittf.com/2026/01/19/from-1926-to-2026-the-evolution-of-table-tennis/
24,2026-08-04 15:09,31,港式霓虹招牌,4,食物與飲食史,2,繁體中文（台灣）,2026-08/NO.0024_2026-08-04_S31-港式霓虹招牌_ZH-TW.png,先有罐頭，才有開罐器。你打不開的那些事，也許只是工具還沒被發明。,一八一〇年，英國人 Peter Durand 取得馬口鐵罐頭專利；開罐器卻要等到一八五八年，才由美國人 Ezra Warner 做出來。中間將近半世紀，罐身是熟鐵打的，最厚接近五公釐，官方指示就印在罐上：「用鑿子和鎚子沿著蓋緣鑿一圈。」,https://www.smithsonianmag.com/smart-news/why-can-opener-wasnt-invented-until-almost-50-years-after-can-180964590/
25,2026-08-04 20:09,26,波普艺术 Pop Art,9,昆虫与植物,7,韩文,2026-08/NO.0025_2026-08-04_S26-波普艺术_KO.png,"가장 빨리 발견되는 이는 가장 크게 외치는 이가 아니라, 가장 또렷한 모양으로 서 있는 이다.（最快被找到的人，不是喊得最大声的，而是站得最清晰的那个。）","쿠바 우림에 사는 덩굴식물 마르크그라비아 에베니아(Marcgravia evenia)는 꽃 옆에 오목한 접시 모양 잎을 달고 있다. 이 잎은 박쥐의 초음파를 사방으로 또렷하게 되쏘는 음향 반사판 역할을 한다. 2011년 독일 울름대학교 랄프 지몬 연구팀의 실험에서, 이 특수한 잎이 있을 때 박쥐는 먹이를 약 50% 더 빨리 찾아냈지만 평범한 잎에서는 겨우 6% 빨라지는 데 그쳤다.（古巴雨林藤本植物马氏藤（Marcgravia evenia）在花旁长着一片凹陷如碟的叶子，能把蝙蝠发出的超声波向四面八方清晰反射回去，充当声学信标。2011年德国乌尔姆大学拉尔夫·西蒙团队的实验显示：装上这片特殊叶子时，蝙蝠找到隐藏食物的速度快了约50%；换成普通叶子，只快了6%。）",https://www.science.org/doi/10.1126/science.1204210
26,2026-08-05 00:09,35,黑膠唱片封套,13,動物行為,4,粵語口語,2026-08/NO.0026_2026-08-05_S35-黑胶唱片封套_YUE.png,邊個都會跌親，但捱得返嚟嘅，通常唔係最叻嗰個，而係肯出聲嗰個。,馬塔貝勒蟻（Megaponera analis）出征獵白蟻，斷咗腳嘅戰友會喺現場散發信息素求救，健全嘅蟻就會返轉頭抬佢返巢。2018年Frank等人喺《英國皇家學會會刊B》發表：斷肢太多嘅重傷蟻會被放棄唔理，輕傷嘅先會畀救返嚟舔傷口消毒。感染咗嘅傷口仲會畀蟻友用自己分泌嘅抗生素處理——獨立囚禁嘅感染蟻三十六小時內死八成幾，返到巢入面有蟻照顧，就跌到得兩成二左右。,https://www.science.org/doi/10.1126/sciadv.1602187
27,2026-08-05 05:09,16,新藝術運動曲線花卉,1,天文與宇宙,2,繁體中文（台灣）,2026-08/NO.0027_2026-08-05_S16-新艺术花卉_ZH-TW.png,有時候最重要的發現，不是你刻意去找的，而是你在看別的東西時，剛好撞見的。,1977年3月10日，MIT天文學家詹姆士．艾略特（James Elliot）帶著團隊搭乘柯伊伯機載天文台，原本只是想趁天王星掩星的機會，觀測它大氣層的邊緣。沒想到星光在天王星完全遮住恆星的前後，各自閃爍了五次——這個意外的發現，讓人類第一次確認：天王星外圍，其實環繞著一整圈光環。,https://en.wikipedia.org/wiki/James_L._Elliot
28,2026-08-05 10:09,1,极简主义大留白,6,人体与生理,7,德文,2026-08/NO.0028_2026-08-05_S1-极简大留白_DE.png,"Manches in uns bleibt für immer so, wie es am Anfang war.（有些部分的我们，永远停留在起初的样子。）",2008年，哥本哈根大学法医学者尼尔斯·林纳鲁普（Niels Lynnerup）团队在《PLoS ONE》发表研究：人眼晶状体核心处的晶状体蛋白几乎全部在出生前后一次性生成，此后终生不再被替换或代谢。由于其碳14含量保留着1955年后核试验造成的“炸弹脉冲”印记，据此可将逝者的出生年份精确推算到正负1.5年内，现已被用于法医鉴定。,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0001529
29,2026-08-05 15:09,12,暗黑高级金属质感,11,化学与材料,5,英文,2026-08/NO.0029_2026-08-05_S12-暗黑金属_EN.png,"Nothing was pushing it. No current, no heat, no hand at all. It grew anyway.（没有电流，没有热，没有谁的手。没有什么在推它，它还是长了出来。）","Pure tin plating grows its own hair. Single crystals — “tin whiskers” — erupt from plated surfaces at room temperature, with no voltage applied and no known trigger, at up to about 1 mm a year. That is enough to bridge two pins. On 17 April 2005 one shorted a circuit board and shut down Unit 3 of the Millstone nuclear plant in Connecticut. NASA has tracked such failures since the 1940s; the mechanism is still not fully understood.（纯锡镀层会自己长毛。锡的单晶——「锡须」——在室温下、无外加电压、也没有已知诱因的情况下自发从镀层里冒出来，每年可长约一毫米，足以搭通两根引脚。2005年4月17日，一根锡须使一块电路板短路，导致康涅狄格州米尔斯通核电站三号机组停堆。NASA 从1940年代起就记录这类故障，其生长机理至今仍未被完全弄清。）",https://nepp.nasa.gov/whisker/reference/tech_papers/2005-dadonna-nuclear-reactor-shutdown.pdf
30,2026-08-05 16:04,38,3D等距立体插画（isometric）,12,冷门历史事件,6,日文,2026-08/NO.0030_2026-08-05_S38-3D等距插画_JA.png,相手を憎むのに使っていた力は、はじめから、拍手にも使える力だった。（那股用来憎恨对方的力气，从一开始，也是可以用来鼓掌的力气。）,1889年3月15日、サモアのアピア湾。米独の軍艦がにらみ合い、開戦寸前のところへサイクロンが直撃した。湾内の軍艦7隻のうち6隻が沈むか座礁し、米兵51名、独兵約150名が海に消えた。唯一、英艦カリオペだけが全力で外洋へ逃れた。自艦が壊れていく最中、米旗艦トレントンの乗員はすれ違うカリオペに歓声を送り、カリオペもそれに応えた。あの戦争は、ついに起こらなかった。（1889年3月15日，萨摩亚阿皮亚湾。美德军舰对峙，开战在即，一场气旋正面砸下。湾内七艘军舰有六艘沉没或搁浅，51名美军、约150名德军葬身海中。唯有英舰卡利俄佩号全速冲出外海。眼看自己的船正在解体，美军旗舰特伦顿号的水兵仍向擦身而过的卡利俄佩号发出欢呼——对方也回以欢呼。那场战争，最终没有打起来。）,https://en.wikipedia.org/wiki/1889_Apia_cyclone
31,2026-08-05 20:10,18,復古CRT終端綠字,16,氣象與自然現象,3,繁體中文（香港）,2026-08/NO.0031_2026-08-05_S18-CRT終端綠字_ZH-HK.png,有些光只亮了一秒鐘多一點，人類卻等了兩千年才看清它由甚麼造成。所以不必急。你要的答案未必不來，可能只是儀器還未架好。,球狀閃電被目擊了兩千多年，卻從沒有儀器拍下過它。二〇一二年夏天，西北師範大學袁萍的團隊在青海大通縣架起光譜儀觀測普通閃電，鏡頭裏卻意外闖進一個發光直徑約五米的火球，距離約九百二十米，只存在了一點六四秒。光譜顯示它含矽、鈣、鐵——全部來自腳下的泥土。這是人類至今唯一一次拍到自然球狀閃電的光譜。,https://physics.aps.org/articles/v7/5
32,2026-08-06 04:10,30,復古航海地圖,7,建築與城市,4,粵語口語,2026-08/NO.0032_2026-08-06_S30-復古航海圖_YUE.png,有啲門一世都唔會打開，但佢企喺度，替成條街撐住個樣。你唔拆穿佢，佢都唔會拆穿你。,倫敦 Bayswater 嘅 Leinster Gardens 23 至 24 號，望落同隔籬幾間五層高排屋一模一樣，其實成幢淨係得一塊約 1.5 米厚嘅牆。1860 年代大都會鐵路喺呢度明挖過境，要留返個露天缺口畀蒸汽火車出煙，索性拆咗兩間屋，再砌返個假門面遮住。啲窗係畫上去嘅，門口冇信箱，一擺就擺到今日。,https://www.atlasobscura.com/places/leinster-gardens-false-facades
33,2026-08-06 08:10,21,星图天文星座,11,化学与材料,1,简体中文,2026-08/NO.0033_2026-08-06_S21-星图星座_ZH.png,有些旧的样子，一旦被更稳的取代，就再也做不出来了。不必怪自己不肯回头——是世界先学会了新的排法。,1996 年上市的抗艾滋病药利托那韦，1998 年多批胶囊突然溶不开。研究发现析出的是一种此前从未见过、更稳定也更难溶的晶型 Form II——它一出现，原本的 Form I 就几乎再也长不出来，产线只得停摆、胶囊撤市，雅培为此损失超过 2.5 亿美元。,https://www.pnas.org/doi/10.1073/pnas.0437744100
34,2026-08-06 12:10,20,植物学图鉴插画,15,心理学与认知,5,英文,2026-08/NO.0034_2026-08-06_S20-植物图鉴_EN.png,"What you call imagination may only be the world, arriving quietly enough that you take the credit. / 你以为是想象出来的东西，也许只是世界悄悄来了一趟，而你把功劳记在了自己名下。","In 1910 Cheves West Perky had people stare at a blank screen and picture a banana. Behind the screen she was faintly projecting one, standing upright. They described their “imagined” banana as standing on end — surprised at themselves, and unaware that they were simply looking at it. / 1910 年，佩尔基让受试者盯着一块空白屏幕，想象一根香蕉。屏幕背后，她正悄悄投出一根极淡的、竖立着的香蕉。受试者形容自己「想象」出的香蕉是立着的，还为此感到意外——他们并不知道，自己只是在看着它。",https://plato.stanford.edu/entries/mental-imagery/perky-experiment.html
35,2026-08-06 12:40,25,老报纸头版,3,海洋生物,7,意大利文,2026-08/NO.0035_2026-08-06_S25-老报纸头版_IT.png,"Nessuno nasce corazzato. Le squame si raccolgono una a una, dal fondo in cui è toccato vivere. / 没有谁生来就带着铠甲。鳞片是从不得不生活的深处，一片一片捡回来的。","Scoperta nel 2001 presso il campo idrotermale di Kairei, nell'Oceano Indiano, e descritta formalmente soltanto nel 2015, la Chrysomallon squamiferum vive fra i 2.400 e i 2.900 metri di profondità, in appena tre siti conosciuti al mondo. Sul piede porta centinaia di scaglie rivestite di solfuri di ferro, greigite e pirite, estratti dai fluidi caldi della bocca idrotermale: è l'unico animale vivente noto a impiegare quel minerale nel proprio scheletro. Nel 2019 è divenuta la prima specie al mondo dichiarata «in pericolo» dall'IUCN a causa dell'estrazione mineraria dei fondali. / 2001 年在印度洋卡雷伊（Kairei）热液喷口区被发现，直到 2015 年才被正式描述命名。鳞角腹足蜗牛（Chrysomallon squamiferum）生活在水深约 2400 至 2900 米处，全世界已知产地只有三处。它足上长着数百片鳞甲，表面覆着从滚烫热液中攫取的硫化铁——胶黄铁矿与黄铁矿，这是已知唯一把硫化铁用进骨骼的现生动物。2019 年 7 月，它成为全球第一个因深海采矿而被 IUCN 列为「濒危」的物种。",https://en.wikipedia.org/wiki/Scaly-foot_gastropod
36,2026-08-06 16:09,44,3D液態金屬流體,2,語言與文字,2,繁體中文（台灣）,2026-08/NO.0036_2026-08-06_S44-液態金屬流體_ZH-TW.png,刀往外推，字就往上長。有些東西被推遠了，才長成自己的樣子。,菲律賓民都洛島的哈努諾文（Hanunó'o），大概是世界上唯一由下往上書寫的文字。族人用刀尖在竹片上刻字，刀刃朝外推，字便一行行往上長。他們主要用它寫「安巴汗」——每句七個音節的情詩。1999 年，這套文字連同鄰近三種同源文字一起被列入 UNESCO 世界記憶名錄，至今仍在使用。,https://www.unesco.org/en/memory-world/philippine-paleographs-hanunoo-buid-tagbanua-and-palawan
37,2026-08-06 20:09,5,中国水墨写意留白,6,人体与生理,6,日文,2026-08/NO.0037_2026-08-06_S5-水墨写意_JA.png,ずっとそこにあったのに、誰の地図にも描かれなかった。見つけてもらえないことと、無いことは、まるでちがう。 / 它一直都在，却没被画进任何人的地图。没被看见，和不存在，是两回事。,「脳にリンパ管はない」は百年以上の医学の常識だった。二〇一五年、バージニア大学のルヴォーとキプニスは、髄膜を頭蓋骨につけたまま固定する手法で、硬膜静脈洞に沿う細いリンパ管を見つけた。脳脊髄液と免疫細胞を深頸リンパ節へ流していたのだ。じつは一七八七年、解剖学者マスカーニがすでに描いていたが、英訳されず忘れられていた。 / 「大脑没有淋巴管」曾是百余年的医学常识。2015 年，弗吉尼亚大学的 Louveau 与 Kipnis 把脑膜连着颅骨一起固定，找到沿硬脑膜静脉窦走行的细淋巴管，它们把脑脊液与免疫细胞引流到深颈淋巴结。其实 1787 年解剖学家马斯卡尼已画过，只是未被译介而遭遗忘。,https://www.nature.com/articles/nature14432
38,2026-08-07 00:09,11,雜誌編輯大標題排版,10,地理與地質,3,繁體中文（香港）,2026-08/NO.0038_2026-08-07_S11-雜誌大標題_ZH-HK.png,唔使急住填返個窿。水自己識搵路——而且一嚟，多數就係成個海。,約五百六十萬年前，地中海同大西洋斷咗連接，蒸發到差唔多乾曬，變成一個深逾一千米嘅鹽盆地。到五百三十三萬年前，大西洋嘅水終於喺直布羅陀一帶蝕出通道，缺堤咁灌返入去。西班牙 CSIC 嘅 Garcia-Castellanos 團隊二〇〇九年喺《Nature》用鑽孔、地震剖面同數值模型推算：高峰期流量約每秒一億立方米，係今日亞馬遜河嘅千倍；地中海水位一日升超過十米，九成海水喺幾個月至兩年之內就已經灌滿。（贊克爾洪水 Zanclean flood）,https://www.nature.com/articles/nature08555
39,2026-08-07 04:09,27,极光渐变梦幻,14,科技与发明史,7,西班牙文,2026-08/NO.0039_2026-08-07_S27-极光渐变梦幻_ES.png,No todo lo que se apaga fracasó: hay luces que solo llegaron antes que los ojos capaces de verlas. / 不是所有熄灭的光都失败了；有些光只是比能看见它的眼睛来得更早。,"En 1865 el telégrafo francés abrió entre París y Lyon el primer servicio comercial de fax del mundo: el pantelégrafo de Giovanni Caselli. Un péndulo de dos metros recorría línea por línea una hoja de estaño escrita con tinta aislante, y otro péndulo sincronizado redibujaba el trazo al otro extremo. Llegó once años antes que el teléfono de Bell y transmitió cerca de 5.000 despachos en su primer año, hasta que la guerra franco-prusiana de 1870 lo apagó. / 1865 年，法国电报部门在巴黎与里昂之间开通了世界上第一条商用传真线路，用的是意大利人卡塞利发明的「泛电报机」：一支两米长的钟摆逐行扫过用绝缘墨水写字的锡箔，另一端同步摆动的钟摆便把笔迹重新画出来。它比贝尔的电话早了十一年，第一年就传送了近五千份电文，直到 1870 年普法战争把它熄灭。",https://en.wikipedia.org/wiki/Pantelegraph
40,2026-08-07 08:09,8,新擬態柔和浮雕,1,天文與宇宙,4,粵語口語,2026-08/NO.0040_2026-08-07_S8-新擬態浮雕_YUE.png,兩邊都喺度扯住你，你以為自己就快散。但成個宇宙就係咁——兩股力拉到啱啱好嗰個位，先至係唯一停得低嘅地方。,1961年，波蘭天文學家 Kordylewski 喺地球同月球之間嘅 L4、L5 拉格朗日點，影到兩團極暗嘅塵埃雲，喺天上橫跨成六度以上，比月亮闊十幾倍。因為實在太暗，成半個世紀都冇乜人信佢真係存在；直到 2018 年，匈牙利團隊用偏振成像觀測，先至確認呢兩團「塵埃月亮」一直都喺度。,https://academic.oup.com/mnras/article/482/1/762/5114270
41,2026-08-07 12:09,7,玻璃拟态毛玻璃,5,数学与数字,1,简体中文,2026-08/NO.0041_2026-08-07_S7-玻璃拟态_ZH.png,别急着嫌一件事无聊。人类最说不清的那些答案，多半是从最无聊的地方，一遍一遍念出来的。,把「1」读出来是「一个1」，写成 11；再读「两个1」，写成 21；接着是 1211、111221……这串「外观数列」像小孩的游戏。但康威在 1986 年证明：除了 22 这一个例外，无论从哪个数开始，它每一项的长度都会稳定地比前一项多约 30.3577269%。这个增长率 λ 是一个 71 次整系数多项式唯一的正实根。康威自嘲，这是「从最傻的来源里找出的最复杂的代数数」。,https://mathworld.wolfram.com/CosmologicalTheorem.html
